t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=03daa0f3c754 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=5cf254763269 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=2b23622e5e37 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=c960caf5abac l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=ec5d35832123 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=906eae04ced9 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:35+0530 lvl=info msg="join connections" obj=join id=5a4647b0f676 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=df0baf915e8f l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=f5608205bedd l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52113
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=13b2a44c73ff l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59775
